district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Tiruchirappalli,Lalgudi,Semi-Urban,8.4841,80.4078,Burglary,10,Sunday,Evening,235,13.34,67.35,0.264,4,14,5.33,1,18-25,1.005,2.55,0.674,61.09,0.724,0.553,0
Karur,Kadavur,Urban,10.2155,80.4847,Theft,3,Friday,Night,408,13.87,78.86,0.62,8,2,1.65,0,26-35,1.068,2.75,0.789,34.02,0.475,0.798,1
Ramanathapuram,Ramanathapuram,Rural,8.8377,77.3848,Traffic Violation,2,Tuesday,Morning,495,9.66,68.79,0.687,5,2,0.68,0,18-25,0.916,4.16,0.688,58.15,0.653,0.943,0
Krishnagiri,Hosur,Rural,12.5423,78.148,Cybercrime,10,Friday,Evening,267,10.06,78.28,0.192,4,6,0.58,1,60+,0.982,2.89,0.783,34.86,0.766,0.676,0
Madurai,Madurai South,Urban,9.0662,79.525,Fraud,5,Tuesday,Morning,1466,6.46,90.63,0.188,21,33,6.22,0,46-60,1.051,0.76,0.906,82.72,0.74,0.463,1
Dharmapuri,Nallampalli,Rural,9.804,76.3899,Assault,11,Wednesday,Night,688,12.07,77.47,0.432,7,14,7.48,1,60+,1.031,3.96,0.775,62.68,0.85,0.716,0
Namakkal,Tiruchengode,Rural,9.3846,78.7318,Property Crime,9,Monday,Afternoon,366,8.71,72.62,0.302,2,12,7.89,0,18-25,0.908,4.42,0.726,60.98,0.618,0.947,0
Coimbatore,Pollachi,Semi-Urban,9.8914,79.8291,Fraud,11,Monday,Morning,1209,4.51,89.25,0.433,10,23,4.25,1,26-35,1.012,1.41,0.893,78.04,0.548,0.309,0
Tiruchirappalli,Srirangam,Urban,9.6808,80.0869,Theft,5,Sunday,Night,678,13.43,68.03,0.639,3,2,7.03,0,26-35,0.992,3.57,0.68,43.45,0.754,0.541,0
Tirunelveli,Palayamkottai,Rural,11.6005,77.3284,Assault,9,Friday,Evening,228,10.08,66.04,0.79,3,3,3.54,0,46-60,1.086,3.85,0.66,35.89,0.206,0.655,0
Coimbatore,Mettupalayam,Urban,11.4253,77.9576,Burglary,3,Thursday,Morning,901,7.38,91.51,0.472,18,20,3.02,0,36-45,0.976,1.51,0.915,86.06,0.454,0.541,0
Tiruvannamalai,Cheyyar,Rural,10.905,80.2748,Burglary,11,Sunday,Evening,482,12.85,83.7,0.374,2,10,2.51,1,18-25,0.967,1.38,0.837,31.74,0.894,0.908,0
Dindigul,Natham,Semi-Urban,9.9719,79.4541,Fraud,9,Wednesday,Evening,504,5.44,72.64,0.268,8,10,2.07,0,36-45,1.089,4.37,0.726,58.85,0.238,0.707,0
Dindigul,Kodaikanal,Rural,10.0007,77.215,Burglary,1,Sunday,Night,558,13.49,68.71,0.319,3,3,3.43,0,46-60,1.054,0.7,0.687,40.48,0.387,0.417,0
Kanchipuram,Chengalpattu,Rural,8.5364,77.8762,Traffic Violation,4,Saturday,Afternoon,297,10.68,78.19,0.729,8,10,1.29,1,18-25,1.037,2.53,0.782,66.57,0.304,0.647,0
Thanjavur,Papanasam,Rural,9.7844,77.6144,Burglary,10,Saturday,Evening,225,11.95,80.8,0.548,8,3,1.16,1,18-25,1.018,3.66,0.808,44.85,0.799,0.71,1
Tirunelveli,Nanguneri,Rural,8.7689,78.0394,Property Crime,3,Monday,Morning,754,11.23,84.43,0.531,3,10,6.39,0,60+,1.05,1.26,0.844,63.47,0.295,0.871,0
Madurai,Thirumangalam,Urban,13.1088,76.5917,Burglary,12,Thursday,Evening,1003,7.54,85.52,0.456,9,31,6.28,1,36-45,0.965,1.22,0.855,82.52,0.883,0.78,0
Thoothukudi,Kovilpatti,Rural,8.8684,78.1993,Vandalism,2,Monday,Evening,745,6.73,66.64,0.288,4,7,2.66,0,36-45,1.068,2.94,0.666,43.34,0.426,0.301,0
Dindigul,Palani,Semi-Urban,13.2404,76.0666,Theft,9,Tuesday,Night,615,12.61,77.05,0.691,8,12,7.51,0,46-60,1.055,4.97,0.77,68.21,0.21,0.587,1
Vellore,Vellore,Rural,11.0055,79.7756,Property Crime,1,Tuesday,Morning,714,13.11,80.74,0.698,4,6,2.19,0,60+,1.044,4.52,0.807,46.8,0.35,0.775,0
Ramanathapuram,Paramakudi,Rural,12.9216,79.1073,Fraud,1,Wednesday,Morning,480,10.37,82.82,0.705,4,3,2.78,0,26-35,1.084,1.71,0.828,38.64,0.3,0.705,1
Salem,Vazhapadi,Rural,12.183,79.9818,Assault,5,Monday,Evening,350,10.12,75.44,0.526,4,11,7.3,0,60+,1.002,1.13,0.754,50.72,0.876,0.732,1
Madurai,Usilampatti,Urban,9.2999,76.7317,Theft,4,Tuesday,Morning,1137,6.03,87.65,0.684,11,38,1.95,1,36-45,0.972,4.84,0.877,71.47,0.266,0.939,1
Villupuram,Gingee,Urban,9.0491,80.0146,Assault,12,Saturday,Afternoon,256,9.97,81.06,0.124,6,3,6.03,1,36-45,1.051,4.75,0.811,65.14,0.591,0.892,0
Coimbatore,Pollachi,Semi-Urban,11.7469,80.1134,Property Crime,6,Thursday,Evening,1633,6.47,93.96,0.482,23,21,2.48,0,18-25,1.096,4.49,0.94,81.06,0.436,0.565,1
Namakkal,Namakkal,Rural,8.5908,78.2673,Domestic Violence,6,Sunday,Night,518,12.81,70.46,0.185,8,12,1.23,0,18-25,1.046,1.26,0.705,54.21,0.226,0.95,0
Tirunelveli,Palayamkottai,Rural,10.8565,78.4268,Theft,9,Wednesday,Night,464,14.37,82.62,0.305,7,13,4.51,0,36-45,1.074,0.58,0.826,48.64,0.459,0.731,0
Thanjavur,Papanasam,Rural,9.9481,76.0439,Fraud,2,Tuesday,Afternoon,475,8.37,72.46,0.619,2,10,3.72,0,36-45,0.951,1.26,0.725,66.41,0.552,0.946,1
Salem,Mettur,Semi-Urban,12.1707,78.8823,Cybercrime,12,Sunday,Afternoon,495,7.65,65.56,0.8,6,7,3.44,1,26-35,0.931,3.57,0.656,68.82,0.205,0.544,0
Villupuram,Villupuram,Semi-Urban,12.6973,77.7073,Vandalism,10,Friday,Morning,698,14.58,71.66,0.608,3,6,1.21,1,26-35,0.921,1.54,0.717,37.48,0.776,0.777,0
Virudhunagar,Aruppukkottai,Semi-Urban,8.3756,80.4165,Property Crime,6,Sunday,Evening,458,9.2,65.35,0.673,6,9,6.65,0,36-45,1.012,1.03,0.653,65.67,0.303,0.523,0
Dindigul,Nilakottai,Rural,8.9796,78.1846,Assault,3,Sunday,Night,477,13.63,82.72,0.543,7,4,4.22,0,26-35,1.052,3.64,0.827,41.02,0.307,0.366,0
Salem,Mettur,Urban,8.3191,78.1816,Vandalism,4,Friday,Afternoon,661,14.76,81.77,0.319,8,12,2.41,1,26-35,1.044,4.01,0.818,38.84,0.68,0.325,1
Ramanathapuram,Kamuthi,Rural,11.6376,79.8158,Domestic Violence,6,Sunday,Afternoon,505,7.57,68.25,0.773,4,3,6.75,0,36-45,0.992,1.56,0.683,45.53,0.618,0.619,0
Dharmapuri,Dharmapuri,Rural,11.0245,79.8412,Vandalism,11,Wednesday,Night,543,6.32,69.47,0.538,5,5,5.07,1,26-35,0.902,4.02,0.695,35.91,0.317,0.538,0
Tiruvannamalai,Tiruvannamalai,Rural,11.2121,76.5809,Property Crime,8,Thursday,Afternoon,639,13.87,69.23,0.697,4,4,2.35,0,46-60,1.011,4.37,0.692,44.36,0.229,0.322,1
Dindigul,Palani,Rural,8.2719,78.2223,Burglary,1,Saturday,Afternoon,661,10.11,73.04,0.385,2,2,2.93,0,36-45,0.95,3.94,0.73,53.47,0.291,0.586,1
Vellore,Katpadi,Rural,9.9272,77.284,Assault,12,Thursday,Morning,384,12.6,82.43,0.511,7,13,4.34,1,46-60,1.1,2.13,0.824,51.17,0.828,0.386,0
Coimbatore,Pollachi,Semi-Urban,8.9046,79.0461,Traffic Violation,2,Tuesday,Afternoon,909,3.27,91.5,0.734,21,32,1.67,0,46-60,0.964,0.83,0.915,86.72,0.278,0.894,0
Cuddalore,Kattumannarkoil,Rural,12.3159,77.2713,Vandalism,3,Monday,Morning,247,8.22,66.08,0.37,6,13,0.93,0,26-35,0.939,4.01,0.661,30.25,0.207,0.675,1
Thoothukudi,Vilathikulam,Rural,9.7059,76.8731,Domestic Violence,2,Thursday,Afternoon,348,11.5,68.1,0.733,8,11,7.82,0,46-60,0.992,4.07,0.681,30.28,0.291,0.479,0
Virudhunagar,Virudhunagar,Rural,13.12,78.924,Cybercrime,4,Saturday,Evening,614,6.47,69.31,0.436,8,13,4.14,1,36-45,0.942,3.26,0.693,62.14,0.542,0.597,0
Krishnagiri,Krishnagiri,Urban,10.5875,78.0115,Cybercrime,10,Tuesday,Night,754,12.06,68.94,0.263,4,14,2.77,1,60+,0.958,0.5,0.689,69.7,0.635,0.547,1
Thoothukudi,Kovilpatti,Rural,9.6165,79.6195,Traffic Violation,3,Friday,Morning,650,8.27,84.89,0.274,3,2,1.81,0,26-35,1.023,4.06,0.849,62.1,0.429,0.312,1
Vellore,Katpadi,Rural,11.3555,77.9063,Vandalism,10,Sunday,Night,685,11.19,68.45,0.59,8,7,1.3,1,18-25,0.987,3.32,0.684,56.66,0.753,0.759,0
Erode,Gobichettipalayam,Semi-Urban,12.6596,80.3143,Vandalism,3,Friday,Afternoon,514,8.54,84.86,0.155,4,11,0.52,0,46-60,1.006,3.49,0.849,42.36,0.561,0.844,0
Salem,Mettur,Semi-Urban,10.8608,77.9147,Theft,4,Saturday,Night,321,14.96,76.51,0.785,5,7,3.76,1,36-45,1.066,2.69,0.765,65.84,0.561,0.532,0
Tiruvannamalai,Cheyyar,Rural,10.9073,77.4449,Assault,10,Friday,Afternoon,661,11.29,70.84,0.411,8,2,1.53,1,26-35,1.003,2.79,0.708,54.69,0.256,0.75,1
Chennai,Sholinganallur,Urban,10.6173,80.4449,Burglary,10,Sunday,Night,1343,4.61,85.86,0.546,21,33,1.37,1,60+,1.024,1.46,0.859,87.77,0.679,0.644,1
Ramanathapuram,Mudukulathur,Rural,8.7109,77.1511,Cybercrime,4,Wednesday,Afternoon,456,12.42,68.79,0.657,5,10,3.22,1,46-60,1.042,2.89,0.688,36.96,0.562,0.906,1
Dharmapuri,Karimangalam,Semi-Urban,8.9215,76.608,Assault,5,Saturday,Morning,763,10.47,73.58,0.726,6,14,2.4,0,46-60,0.965,3.27,0.736,51.58,0.485,0.443,0
Krishnagiri,Hosur,Rural,11.6552,77.4671,Assault,4,Sunday,Evening,779,14.65,72.7,0.133,6,5,6.63,1,18-25,0.955,2.94,0.727,68.3,0.572,0.407,1
Dindigul,Natham,Rural,9.654,79.1294,Domestic Violence,7,Thursday,Afternoon,416,12.66,73.58,0.757,3,12,3.38,0,46-60,1.037,2.64,0.736,44.77,0.32,0.362,0
Dharmapuri,Harur,Rural,8.7198,80.2368,Drug Offense,11,Wednesday,Morning,703,7.74,67.74,0.603,7,8,6.14,1,18-25,0.926,2.53,0.677,47.52,0.391,0.492,1
Tiruvannamalai,Arani,Semi-Urban,13.3017,79.6468,Property Crime,2,Tuesday,Evening,643,10.95,67.23,0.455,2,3,3.53,0,18-25,1.071,3.96,0.672,45.5,0.501,0.744,0
Salem,Mettur,Rural,12.696,79.0183,Drug Offense,1,Sunday,Morning,745,7.51,70.47,0.342,7,8,4.8,0,46-60,1.009,3.23,0.705,69.0,0.357,0.633,0
Villupuram,Gingee,Semi-Urban,11.4266,77.239,Burglary,12,Monday,Afternoon,795,13.39,65.17,0.79,5,6,7.6,1,26-35,0.914,2.69,0.652,30.02,0.206,0.321,0
Coimbatore,Mettupalayam,Urban,12.7424,80.2915,Cybercrime,5,Friday,Evening,1814,6.54,88.84,0.135,13,38,0.74,0,60+,0.958,2.14,0.888,71.07,0.389,0.658,1
Dindigul,Palani,Rural,11.4512,79.5215,Burglary,12,Tuesday,Night,405,13.59,73.47,0.234,5,6,4.95,1,26-35,1.065,2.44,0.735,47.38,0.56,0.487,1
Thoothukudi,Ottapidaram,Rural,12.0661,78.0468,Fraud,12,Tuesday,Evening,725,11.63,80.44,0.118,4,12,6.5,1,26-35,1.004,1.06,0.804,36.37,0.295,0.74,0
Namakkal,Namakkal,Semi-Urban,12.8365,76.135,Theft,11,Sunday,Evening,212,11.16,72.77,0.513,5,4,2.14,1,18-25,0.998,0.73,0.728,40.37,0.719,0.866,0
Vellore,Vellore,Rural,12.3091,76.9163,Domestic Violence,2,Tuesday,Morning,399,13.16,74.48,0.146,3,7,7.76,0,46-60,0.964,0.85,0.745,68.23,0.829,0.734,0
Salem,Mettur,Rural,11.3621,79.908,Assault,11,Tuesday,Evening,297,9.08,74.5,0.174,7,5,6.21,1,26-35,0.901,2.96,0.745,48.41,0.53,0.46,1
Chennai,Ambattur,Urban,12.5253,79.7534,Burglary,2,Saturday,Morning,975,6.63,91.16,0.8,23,29,5.76,0,46-60,1.071,1.11,0.912,85.81,0.466,0.46,0
Ramanathapuram,Kadaladi,Semi-Urban,11.2222,77.3992,Theft,4,Monday,Afternoon,517,13.88,79.93,0.706,6,11,7.72,1,46-60,1.079,3.95,0.799,57.54,0.42,0.675,0
Dharmapuri,Karimangalam,Semi-Urban,11.9506,79.8107,Assault,2,Thursday,Night,679,13.05,67.72,0.404,4,10,6.0,0,60+,1.08,3.18,0.677,44.63,0.714,0.317,0
Chennai,Chennai South,Semi-Urban,10.9702,78.2124,Assault,12,Saturday,Evening,856,6.07,87.01,0.757,8,28,3.22,1,26-35,1.006,4.18,0.87,75.07,0.794,0.565,1
Namakkal,Tiruchengode,Semi-Urban,12.9009,76.3311,Traffic Violation,8,Wednesday,Night,336,5.6,74.99,0.689,2,4,1.36,0,36-45,0.931,2.34,0.75,42.72,0.63,0.766,0
Tiruchirappalli,Srirangam,Semi-Urban,10.68,76.7953,Burglary,6,Friday,Night,360,9.27,75.14,0.256,5,7,0.86,0,26-35,0.982,0.66,0.751,51.07,0.662,0.557,0
Cuddalore,Chidambaram,Rural,10.1305,79.6336,Vandalism,5,Sunday,Evening,537,8.15,79.28,0.176,5,11,6.14,0,18-25,0.977,1.5,0.793,39.54,0.218,0.724,1
Ramanathapuram,Ramanathapuram,Semi-Urban,11.3151,79.7482,Fraud,2,Saturday,Morning,704,10.22,72.09,0.198,4,7,0.98,0,60+,0.944,4.69,0.721,39.79,0.352,0.84,1
Kanchipuram,Uthiramerur,Rural,11.2304,76.0503,Assault,2,Sunday,Evening,294,10.17,77.37,0.393,3,5,3.11,0,36-45,1.041,2.17,0.774,44.38,0.404,0.558,1
Tirunelveli,Palayamkottai,Rural,9.9789,77.0283,Property Crime,2,Friday,Night,344,14.61,65.87,0.233,3,11,0.79,0,60+,0.939,2.04,0.659,54.16,0.884,0.73,0
Vellore,Arcot,Rural,13.1783,79.5123,Fraud,5,Sunday,Night,739,13.38,76.25,0.467,7,2,4.46,0,36-45,1.03,2.38,0.762,39.46,0.798,0.588,1
Villupuram,Gingee,Semi-Urban,10.4026,77.9159,Fraud,11,Sunday,Morning,207,5.65,76.08,0.539,3,5,6.19,1,36-45,1.019,0.92,0.761,65.99,0.49,0.475,1
Thanjavur,Pattukottai,Semi-Urban,8.2745,77.3,Cybercrime,8,Sunday,Night,491,10.5,82.53,0.175,6,2,1.43,0,46-60,1.032,3.91,0.825,57.67,0.72,0.315,0
Kanchipuram,Kanchipuram,Rural,11.8609,79.1056,Drug Offense,7,Wednesday,Night,476,13.2,83.57,0.182,2,4,5.31,0,36-45,1.097,3.93,0.836,53.66,0.673,0.805,0
Namakkal,Kumarapalayam,Rural,10.0229,79.5499,Assault,1,Tuesday,Morning,728,5.14,65.96,0.606,7,8,5.92,0,46-60,1.001,3.62,0.66,49.03,0.558,0.702,1
Tiruvannamalai,Cheyyar,Rural,9.8502,76.0665,Assault,5,Tuesday,Night,560,14.84,78.66,0.63,7,8,4.36,0,60+,1.039,1.65,0.787,64.55,0.576,0.694,0
Dindigul,Natham,Semi-Urban,8.393,79.1237,Assault,8,Sunday,Night,543,10.55,69.14,0.203,8,13,5.13,0,46-60,0.906,4.37,0.691,62.33,0.588,0.636,1
Cuddalore,Chidambaram,Semi-Urban,10.3762,79.4867,Cybercrime,2,Tuesday,Night,312,14.43,70.51,0.214,2,13,7.72,0,46-60,1.038,1.59,0.705,43.62,0.507,0.581,0
Thanjavur,Kumbakonam,Semi-Urban,11.8108,76.0918,Traffic Violation,7,Wednesday,Morning,440,7.47,78.66,0.141,5,7,6.51,0,26-35,1.006,0.9,0.787,65.79,0.604,0.641,0
Tiruvannamalai,Tiruvannamalai,Rural,12.8039,78.4505,Traffic Violation,10,Sunday,Morning,595,9.36,77.44,0.698,4,6,2.14,1,46-60,1.091,0.73,0.774,60.45,0.802,0.329,1
Madurai,Thirumangalam,Urban,8.7304,79.2718,Drug Offense,2,Wednesday,Evening,1998,6.73,85.41,0.481,14,32,4.33,0,36-45,0.945,1.9,0.854,84.77,0.783,0.396,1
Vellore,Arcot,Semi-Urban,8.2959,76.6815,Property Crime,4,Tuesday,Evening,605,11.07,80.33,0.177,3,4,3.58,1,60+,0.956,0.73,0.803,61.06,0.717,0.704,1
Tirunelveli,Ambasamudram,Semi-Urban,10.5844,78.4996,Domestic Violence,6,Monday,Evening,225,5.65,72.85,0.243,7,5,3.38,0,46-60,0.926,3.83,0.728,69.95,0.807,0.331,1
Dharmapuri,Palacode,Rural,8.6793,78.7855,Fraud,5,Wednesday,Morning,313,10.37,68.12,0.626,3,14,1.06,0,36-45,1.031,4.71,0.681,61.0,0.774,0.727,1
Thoothukudi,Kovilpatti,Rural,9.774,78.6322,Drug Offense,1,Wednesday,Afternoon,391,10.92,79.86,0.668,5,14,6.65,0,60+,1.087,4.95,0.799,45.45,0.431,0.644,0
Dharmapuri,Dharmapuri,Semi-Urban,10.1421,78.6415,Theft,8,Saturday,Night,546,11.39,79.51,0.572,2,15,4.09,0,36-45,0.95,1.65,0.795,63.77,0.308,0.895,1
Cuddalore,Chidambaram,Semi-Urban,8.1241,79.3312,Assault,5,Wednesday,Morning,477,6.83,83.52,0.286,2,15,6.75,0,36-45,1.09,3.27,0.835,49.53,0.884,0.771,0
Salem,Salem,Rural,8.5043,79.289,Cybercrime,11,Wednesday,Evening,373,9.28,79.93,0.75,7,8,7.12,1,46-60,0.97,1.31,0.799,40.82,0.886,0.66,0
Namakkal,Rasipuram,Rural,11.3398,78.7142,Fraud,7,Saturday,Afternoon,605,10.84,71.86,0.11,4,6,0.51,0,60+,1.044,4.87,0.719,44.21,0.793,0.903,0
Krishnagiri,Denkanikottai,Semi-Urban,13.1604,76.6501,Assault,12,Monday,Afternoon,391,13.47,81.11,0.419,6,12,5.86,1,26-35,0.912,2.24,0.811,46.52,0.861,0.327,1
Ramanathapuram,Kadaladi,Semi-Urban,9.8577,79.6537,Cybercrime,10,Thursday,Evening,596,5.95,71.26,0.505,7,5,3.22,1,36-45,0.935,1.91,0.713,44.25,0.302,0.817,1
Kanchipuram,Chengalpattu,Rural,12.1261,76.7733,Fraud,8,Saturday,Afternoon,382,12.75,82.28,0.726,3,12,5.92,0,36-45,0.948,2.24,0.823,40.21,0.783,0.571,0
Sivaganga,Devakottai,Rural,11.9294,79.5053,Fraud,1,Thursday,Evening,407,8.14,65.37,0.593,3,4,5.21,0,18-25,0.903,4.64,0.654,68.97,0.344,0.68,0
Chennai,Chennai North,Urban,9.5021,77.293,Burglary,4,Sunday,Night,1448,3.47,90.71,0.286,8,38,1.04,1,18-25,0.908,1.82,0.907,83.85,0.291,0.821,0
Dindigul,Palani,Rural,11.8757,80.028,Fraud,12,Friday,Evening,795,11.89,73.72,0.322,8,12,5.25,1,18-25,0.921,3.28,0.737,35.33,0.456,0.54,0
Erode,Gobichettipalayam,Rural,10.8664,76.5831,Fraud,10,Friday,Morning,371,9.75,72.45,0.727,3,6,2.25,1,46-60,1.069,2.16,0.725,63.74,0.818,0.489,0
Virudhunagar,Sattur,Rural,12.3165,78.103,Cybercrime,8,Thursday,Evening,205,7.36,74.3,0.64,6,5,5.95,0,18-25,0.998,4.54,0.743,54.96,0.284,0.692,0
Dindigul,Kodaikanal,Rural,12.8808,78.0496,Theft,12,Sunday,Evening,670,10.28,67.58,0.723,5,15,0.62,1,46-60,0.998,4.38,0.676,37.15,0.73,0.742,1
Tirunelveli,Palayamkottai,Semi-Urban,8.2518,80.0401,Vandalism,10,Thursday,Night,493,11.9,70.58,0.699,2,14,7.54,1,36-45,0.988,4.7,0.706,31.13,0.457,0.78,0
Kanchipuram,Kanchipuram,Rural,12.2619,79.2746,Theft,9,Wednesday,Night,677,13.67,71.81,0.22,5,13,4.46,0,18-25,1.071,4.63,0.718,55.26,0.839,0.327,1
Chennai,Chennai Central,Urban,10.6224,77.2237,Burglary,1,Sunday,Night,1970,7.58,88.6,0.178,24,35,5.65,0,46-60,1.029,3.17,0.886,87.77,0.363,0.633,0
Thoothukudi,Vilathikulam,Urban,10.8515,79.3173,Cybercrime,3,Monday,Evening,751,11.94,80.1,0.499,5,9,1.78,0,18-25,0.906,1.53,0.801,63.66,0.698,0.59,0
Tirunelveli,Nanguneri,Rural,9.5287,77.9042,Theft,6,Saturday,Morning,586,14.32,81.05,0.783,7,11,6.05,0,18-25,0.971,4.97,0.811,48.14,0.3,0.317,0
Salem,Omalur,Rural,12.8674,78.3629,Burglary,4,Friday,Night,694,8.23,77.5,0.668,3,2,4.14,1,36-45,0.97,2.0,0.775,34.45,0.337,0.344,0
Villupuram,Kallakurichi,Semi-Urban,9.18,77.9726,Fraud,12,Wednesday,Afternoon,371,11.65,83.47,0.167,8,2,7.11,1,36-45,1.091,2.7,0.835,35.07,0.706,0.452,0
Namakkal,Kumarapalayam,Rural,9.352,77.1324,Theft,4,Thursday,Evening,636,12.05,70.27,0.601,4,4,7.44,1,46-60,1.084,3.49,0.703,47.76,0.708,0.697,1
Tiruchirappalli,Musiri,Rural,12.8205,76.1002,Vandalism,5,Monday,Night,601,5.93,70.06,0.569,4,2,6.61,0,36-45,0.942,0.87,0.701,46.92,0.841,0.853,1
Chennai,Chennai South,Urban,11.3075,76.7674,Burglary,7,Saturday,Night,915,7.76,88.88,0.257,8,15,3.4,0,46-60,0.903,2.15,0.889,86.54,0.378,0.653,1
Virudhunagar,Aruppukkottai,Urban,12.4183,78.6664,Theft,1,Sunday,Evening,609,13.83,76.21,0.477,5,8,5.24,0,46-60,1.03,2.09,0.762,62.76,0.859,0.942,1
Erode,Gobichettipalayam,Rural,11.7572,79.099,Drug Offense,2,Tuesday,Night,526,9.34,83.16,0.681,4,5,5.61,0,26-35,1.081,3.42,0.832,40.08,0.355,0.618,1
Tiruchirappalli,Thuraiyur,Semi-Urban,8.383,77.1595,Traffic Violation,9,Sunday,Evening,669,6.29,80.54,0.341,6,9,1.01,0,36-45,0.976,4.16,0.805,60.11,0.601,0.414,1
Kanchipuram,Chengalpattu,Rural,10.3092,76.1202,Burglary,10,Thursday,Morning,683,9.66,73.45,0.356,7,5,2.29,1,46-60,0.976,2.06,0.734,33.15,0.647,0.798,0
Sivaganga,Devakottai,Rural,11.6651,77.6021,Domestic Violence,12,Sunday,Afternoon,228,9.47,70.32,0.431,7,2,0.58,1,36-45,0.917,2.02,0.703,45.99,0.235,0.917,0
Virudhunagar,Aruppukkottai,Rural,12.3159,79.1346,Cybercrime,11,Friday,Evening,425,14.09,71.78,0.265,3,10,4.55,1,26-35,1.026,4.46,0.718,46.18,0.522,0.67,0
Cuddalore,Kattumannarkoil,Rural,12.7834,78.1978,Domestic Violence,3,Thursday,Afternoon,562,11.74,65.53,0.265,3,2,3.72,0,26-35,1.068,3.15,0.655,47.97,0.717,0.848,1
Tiruvannamalai,Polur,Rural,12.0509,76.4639,Domestic Violence,9,Wednesday,Morning,771,11.87,67.58,0.205,7,9,6.18,0,26-35,1.069,2.14,0.676,40.05,0.215,0.354,0
Madurai,Madurai South,Urban,9.311,79.6934,Domestic Violence,5,Tuesday,Night,1785,4.51,89.11,0.39,24,19,7.89,0,60+,0.995,0.98,0.891,73.79,0.633,0.557,1
Ramanathapuram,Mudukulathur,Urban,12.3016,76.8936,Vandalism,1,Monday,Evening,515,6.62,68.42,0.378,7,15,7.25,0,26-35,1.075,4.11,0.684,54.22,0.2,0.722,0
Krishnagiri,Denkanikottai,Rural,12.4108,79.2883,Assault,1,Saturday,Afternoon,748,14.51,83.63,0.152,6,8,1.25,0,18-25,1.002,1.0,0.836,57.04,0.453,0.412,0
Namakkal,Tiruchengode,Urban,8.4765,76.3462,Burglary,5,Saturday,Evening,649,13.38,84.01,0.181,2,12,4.05,0,36-45,0.975,1.41,0.84,58.82,0.781,0.906,0
Erode,Bhavani,Rural,12.8423,76.8952,Vandalism,5,Tuesday,Morning,679,6.16,65.86,0.589,2,6,2.87,0,46-60,1.076,2.32,0.659,39.99,0.893,0.618,1
Dindigul,Palani,Rural,13.0717,79.877,Fraud,7,Saturday,Afternoon,650,7.39,68.66,0.248,4,15,2.15,0,46-60,1.005,3.94,0.687,55.95,0.452,0.6,1
Krishnagiri,Krishnagiri,Semi-Urban,8.7037,76.9603,Assault,8,Monday,Night,288,6.48,73.97,0.388,2,5,1.53,0,18-25,0.933,2.07,0.74,68.93,0.536,0.741,0
Tirunelveli,Palayamkottai,Rural,11.1798,80.0384,Vandalism,3,Friday,Afternoon,363,11.39,78.12,0.333,5,15,3.8,0,26-35,0.919,2.22,0.781,40.55,0.442,0.629,1
Tirunelveli,Palayamkottai,Urban,12.1728,79.526,Theft,7,Wednesday,Night,207,5.03,66.02,0.338,2,12,2.06,0,36-45,1.087,4.74,0.66,69.23,0.381,0.949,0
Namakkal,Rasipuram,Rural,9.6612,80.4041,Property Crime,11,Sunday,Morning,794,10.54,83.49,0.535,6,10,2.24,1,60+,0.955,1.49,0.835,64.44,0.286,0.483,1
Namakkal,Rasipuram,Rural,8.5167,79.7807,Assault,9,Thursday,Evening,383,13.48,80.97,0.168,7,13,7.92,0,46-60,0.958,2.59,0.81,49.22,0.584,0.868,0
Virudhunagar,Aruppukkottai,Semi-Urban,10.1159,77.9113,Vandalism,9,Wednesday,Night,485,6.18,68.27,0.555,5,7,2.05,0,36-45,0.939,3.1,0.683,45.75,0.427,0.785,1
Dharmapuri,Harur,Rural,10.1385,80.4921,Drug Offense,5,Thursday,Night,790,14.89,65.45,0.687,6,4,7.24,0,18-25,1.074,3.28,0.655,37.66,0.728,0.308,1
Sivaganga,Sivaganga,Urban,8.7425,77.5422,Traffic Violation,3,Monday,Afternoon,764,11.71,76.44,0.515,2,14,7.92,0,60+,0.984,0.85,0.764,62.75,0.556,0.454,0
Kanchipuram,Sriperumbudur,Rural,10.1402,78.1166,Burglary,4,Saturday,Night,377,11.69,71.8,0.392,2,2,4.67,1,26-35,0.916,4.35,0.718,55.37,0.751,0.583,1
Dharmapuri,Karimangalam,Rural,8.8126,77.9984,Theft,5,Friday,Night,358,10.87,66.77,0.742,2,10,2.58,0,26-35,0.955,1.06,0.668,59.38,0.409,0.35,1
Villupuram,Villupuram,Semi-Urban,11.8265,79.3722,Vandalism,10,Monday,Morning,512,7.58,77.71,0.171,4,6,7.1,1,26-35,0.905,3.44,0.777,63.85,0.28,0.741,0
Sivaganga,Sivaganga,Rural,8.8309,80.2466,Domestic Violence,3,Monday,Evening,616,13.05,74.69,0.451,5,4,5.53,0,46-60,0.984,1.13,0.747,35.97,0.409,0.519,0
Madurai,Madurai North,Urban,10.243,78.991,Property Crime,8,Thursday,Morning,1997,5.02,88.67,0.289,18,27,5.71,0,60+,1.038,1.28,0.887,84.09,0.669,0.573,1
