district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,weather,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Namakkal,Rasipuram,Rural,8.5498,79.9687,Cybercrime,7,Thursday,Afternoon,536,5.83,69.75,0.318,3,13,4.16,Rainy,0,60+,1.035,1.56,0.698,63.11,0.554,0.367,1
Tirunelveli,Nanguneri,Semi-Urban,10.4665,76.923,Assault,5,Wednesday,Night,729,14.09,65.7,0.529,3,13,5.01,Cloudy,0,18-25,0.918,2.92,0.657,44.22,0.869,0.458,1
Namakkal,Kumarapalayam,Rural,11.4372,76.5679,Fraud,11,Sunday,Afternoon,430,13.7,78.96,0.664,4,11,1.14,Sunny,1,18-25,0.925,2.98,0.79,52.95,0.297,0.367,0
Virudhunagar,Kariapatti,Rural,12.1423,78.319,Assault,2,Sunday,Evening,386,14.62,72.14,0.225,8,3,7.12,Cloudy,0,46-60,0.932,1.32,0.721,51.76,0.66,0.677,0
Sivaganga,Karaikudi,Semi-Urban,11.3491,77.6194,Cybercrime,1,Thursday,Afternoon,667,6.12,77.39,0.433,2,14,3.11,Cloudy,0,36-45,1.018,2.81,0.774,47.96,0.264,0.704,1
Tirunelveli,Ambasamudram,Rural,11.171,77.5799,Assault,11,Monday,Night,418,9.07,72.68,0.751,6,11,4.98,Sunny,1,26-35,1.039,1.2,0.727,32.92,0.787,0.84,0
Erode,Gobichettipalayam,Rural,10.0726,78.8863,Property Crime,11,Thursday,Morning,407,14.33,72.19,0.366,5,13,6.58,Cloudy,1,26-35,1.006,0.56,0.722,66.83,0.651,0.485,0
Madurai,Usilampatti,Urban,9.3086,77.8307,Vandalism,9,Monday,Morning,1210,3.33,87.9,0.225,19,22,4.18,Hot,0,46-60,0.98,4.75,0.879,89.52,0.557,0.58,1
Virudhunagar,Virudhunagar,Rural,8.2748,78.3847,Cybercrime,9,Monday,Afternoon,315,9.6,83.13,0.398,4,14,4.86,Cloudy,0,46-60,0.957,0.92,0.831,30.4,0.856,0.33,1
Tiruvannamalai,Tiruvannamalai,Rural,9.9112,76.2935,Traffic Violation,12,Sunday,Night,445,8.37,71.29,0.795,4,9,4.1,Rainy,1,18-25,1.086,4.81,0.713,44.4,0.213,0.355,0
Coimbatore,Coimbatore South,Urban,9.0665,78.0865,Theft,10,Tuesday,Morning,1946,7.26,91.94,0.201,17,20,2.3,Hot,1,26-35,1.037,2.7,0.919,85.99,0.614,0.543,0
Coimbatore,Coimbatore North,Urban,10.5945,76.427,Traffic Violation,5,Wednesday,Morning,1353,3.79,86.03,0.462,19,32,1.25,Cloudy,0,26-35,0.984,3.79,0.86,89.52,0.476,0.677,0
Tiruchirappalli,Srirangam,Semi-Urban,9.7239,78.0225,Cybercrime,7,Sunday,Night,215,7.4,66.82,0.409,2,2,1.43,Cloudy,0,46-60,0.933,1.66,0.668,54.24,0.555,0.781,1
Chennai,Chennai North,Semi-Urban,8.0124,76.1489,Property Crime,12,Monday,Afternoon,1973,5.39,94.62,0.276,14,26,1.44,Sunny,1,60+,1.024,4.76,0.946,89.43,0.556,0.326,1
Tirunelveli,Tirunelveli,Rural,9.1075,76.1847,Assault,3,Sunday,Afternoon,618,10.18,74.59,0.571,4,10,5.63,Sunny,0,46-60,1.005,1.74,0.746,43.29,0.751,0.749,1
Ramanathapuram,Kamuthi,Rural,9.1068,78.7821,Property Crime,10,Saturday,Morning,723,6.66,73.77,0.477,5,7,5.77,Sunny,1,26-35,1.071,3.31,0.738,48.8,0.321,0.517,1
Thanjavur,Thiruvidaimarudur,Rural,10.1936,79.8604,Vandalism,10,Tuesday,Morning,518,10.07,70.64,0.312,4,2,6.85,Hot,1,36-45,0.926,1.85,0.706,31.05,0.414,0.751,0
Karur,Kadavur,Rural,11.6361,79.2012,Property Crime,6,Thursday,Evening,592,12.42,72.61,0.692,7,12,7.21,Rainy,0,36-45,1.077,0.64,0.726,57.04,0.405,0.457,0
Krishnagiri,Hosur,Rural,13.4163,78.1831,Property Crime,2,Friday,Morning,500,8.51,84.99,0.724,2,12,6.06,Rainy,0,60+,0.998,0.56,0.85,30.07,0.263,0.544,0
Dharmapuri,Karimangalam,Rural,12.7318,76.8385,Traffic Violation,6,Friday,Afternoon,483,5.42,65.24,0.381,4,10,2.82,Hot,0,18-25,0.999,2.45,0.652,57.91,0.207,0.795,0
Thoothukudi,Vilathikulam,Rural,11.0366,78.2753,Domestic Violence,7,Friday,Afternoon,598,13.24,71.12,0.288,3,15,2.64,Hot,0,26-35,1.089,1.83,0.711,44.59,0.822,0.384,0
Tirunelveli,Palayamkottai,Rural,11.1784,76.3453,Burglary,11,Monday,Night,215,11.5,76.92,0.304,6,6,5.07,Hot,1,18-25,1.087,3.26,0.769,54.25,0.797,0.661,0
Dharmapuri,Nallampalli,Rural,12.5824,79.8173,Theft,7,Tuesday,Afternoon,505,13.97,70.25,0.72,3,13,2.33,Sunny,0,36-45,0.987,1.41,0.702,66.75,0.262,0.934,1
Chennai,Sholinganallur,Urban,8.0009,76.169,Theft,12,Friday,Night,1715,4.26,91.47,0.789,18,33,7.46,Hot,1,46-60,1.051,0.92,0.915,84.16,0.235,0.52,0
Villupuram,Sankarapuram,Rural,11.1505,76.0287,Burglary,5,Thursday,Morning,316,8.59,70.07,0.236,6,10,2.88,Sunny,0,60+,1.088,4.39,0.701,38.68,0.778,0.49,1
Vellore,Vellore,Semi-Urban,9.1643,80.2628,Domestic Violence,9,Friday,Afternoon,418,10.09,82.23,0.223,4,5,4.69,Cloudy,0,46-60,1.059,0.52,0.822,38.22,0.481,0.908,1
Coimbatore,Mettupalayam,Urban,8.1223,76.8152,Drug Offense,2,Sunday,Morning,1683,5.06,85.91,0.16,19,22,7.43,Rainy,0,46-60,1.028,2.47,0.859,80.82,0.644,0.704,1
Coimbatore,Mettupalayam,Urban,8.7196,77.873,Cybercrime,5,Saturday,Evening,1398,7.08,85.7,0.331,9,33,2.23,Cloudy,0,60+,0.946,2.37,0.857,78.95,0.474,0.534,1
Chennai,Chennai South,Urban,8.0953,76.2177,Fraud,5,Monday,Morning,1553,5.24,91.22,0.672,9,24,3.53,Cloudy,0,46-60,0.955,3.06,0.912,70.56,0.781,0.691,0
Dindigul,Natham,Rural,10.0948,78.9179,Assault,2,Friday,Night,509,12.51,75.35,0.409,2,7,7.12,Hot,0,46-60,0.981,3.06,0.754,62.6,0.217,0.758,0
Thanjavur,Thanjavur,Semi-Urban,11.503,77.9313,Drug Offense,2,Wednesday,Night,472,11.55,79.57,0.356,7,7,5.49,Cloudy,0,36-45,0.933,3.93,0.796,39.25,0.336,0.429,0
Thoothukudi,Srivaikuntam,Rural,12.7508,78.3466,Burglary,10,Friday,Evening,791,13.71,73.81,0.326,4,11,5.97,Hot,1,26-35,0.986,0.77,0.738,34.48,0.816,0.322,1
Karur,Kadavur,Rural,8.1432,77.7031,Drug Offense,7,Thursday,Afternoon,480,7.52,75.45,0.168,3,11,4.93,Rainy,0,46-60,1.078,1.67,0.755,67.42,0.851,0.349,0
Karur,Kulithalai,Rural,12.0283,77.2394,Domestic Violence,5,Tuesday,Evening,440,5.18,76.49,0.55,3,5,7.75,Sunny,0,60+,1.085,2.56,0.765,35.78,0.644,0.869,1
Tirunelveli,Nanguneri,Semi-Urban,11.5956,77.1771,Drug Offense,5,Saturday,Evening,735,7.27,84.16,0.727,6,14,1.85,Hot,0,36-45,0.947,3.92,0.842,31.65,0.524,0.71,0
Krishnagiri,Krishnagiri,Semi-Urban,11.7659,76.105,Fraud,7,Wednesday,Afternoon,718,9.6,65.21,0.184,6,2,0.69,Rainy,0,60+,1.023,2.94,0.652,52.61,0.822,0.322,1
Karur,Karur,Semi-Urban,12.9891,77.9101,Burglary,1,Thursday,Night,614,12.79,80.31,0.463,4,6,0.89,Cloudy,0,46-60,1.05,3.39,0.803,39.34,0.491,0.362,0
Ramanathapuram,Kadaladi,Rural,9.7884,79.5657,Traffic Violation,2,Sunday,Evening,593,13.85,75.22,0.343,6,15,7.85,Sunny,0,18-25,1.051,1.31,0.752,49.89,0.787,0.759,1
Krishnagiri,Krishnagiri,Semi-Urban,12.5153,76.5852,Assault,9,Monday,Afternoon,494,6.58,72.46,0.306,7,7,1.1,Rainy,0,26-35,0.942,4.06,0.725,57.69,0.867,0.781,0
Karur,Karur,Rural,11.1836,79.3872,Drug Offense,10,Friday,Afternoon,221,11.59,69.37,0.594,8,10,1.2,Rainy,1,46-60,0.955,0.68,0.694,43.95,0.56,0.538,1
Salem,Omalur,Semi-Urban,10.429,77.0675,Fraud,2,Friday,Night,576,8.29,71.18,0.682,3,15,5.52,Hot,0,18-25,0.944,3.76,0.712,69.11,0.452,0.474,1
Dindigul,Kodaikanal,Rural,11.405,76.0941,Traffic Violation,2,Wednesday,Afternoon,584,5.07,67.17,0.672,7,12,5.15,Hot,0,36-45,1.081,3.02,0.672,46.22,0.361,0.396,1
Erode,Anthiyur,Semi-Urban,8.4491,77.7049,Assault,9,Sunday,Morning,424,9.55,65.4,0.259,8,11,2.1,Rainy,0,26-35,1.003,3.27,0.654,37.66,0.682,0.521,1
Namakkal,Kolli Hills,Rural,11.1742,79.1867,Theft,3,Sunday,Night,328,14.59,69.75,0.127,3,7,1.36,Sunny,0,46-60,1.095,4.04,0.698,41.91,0.234,0.736,1
Namakkal,Rasipuram,Semi-Urban,12.3716,76.8762,Property Crime,7,Saturday,Morning,743,9.59,80.3,0.429,3,7,2.34,Cloudy,0,18-25,0.958,4.2,0.803,44.68,0.386,0.507,0
Thoothukudi,Vilathikulam,Rural,8.2377,79.9714,Domestic Violence,7,Monday,Morning,533,13.06,71.42,0.55,5,8,3.69,Cloudy,0,18-25,1.04,1.13,0.714,69.56,0.572,0.823,0
Coimbatore,Pollachi,Urban,8.5308,76.4978,Theft,1,Saturday,Evening,829,4.08,93.44,0.722,14,22,3.85,Sunny,0,26-35,0.909,3.79,0.934,71.39,0.202,0.564,1
Tiruvannamalai,Arani,Semi-Urban,9.9648,79.8211,Theft,5,Monday,Afternoon,668,12.84,75.53,0.727,8,13,4.38,Hot,0,26-35,1.026,4.31,0.755,42.21,0.494,0.872,1
Coimbatore,Pollachi,Semi-Urban,8.9422,79.7098,Domestic Violence,7,Thursday,Night,1496,4.97,86.77,0.366,14,32,3.48,Sunny,0,26-35,0.985,3.49,0.868,74.64,0.335,0.607,1
Dindigul,Nilakottai,Rural,8.3312,76.7297,Cybercrime,8,Saturday,Evening,623,7.99,67.12,0.486,8,2,5.81,Hot,0,36-45,1.075,4.16,0.671,37.6,0.494,0.723,1
Cuddalore,Panruti,Rural,8.0999,79.9217,Property Crime,4,Saturday,Night,728,7.48,75.34,0.783,4,7,2.54,Rainy,1,60+,0.92,1.03,0.753,50.76,0.69,0.493,1
Coimbatore,Coimbatore North,Urban,10.4619,77.206,Burglary,5,Tuesday,Night,1252,5.25,91.98,0.117,23,40,4.89,Rainy,0,60+,1.022,4.74,0.92,76.64,0.308,0.673,0
Cuddalore,Chidambaram,Rural,11.1918,79.9233,Burglary,5,Friday,Night,491,14.15,67.88,0.347,3,5,5.22,Sunny,0,26-35,1.022,4.41,0.679,49.78,0.446,0.388,1
Salem,Omalur,Rural,13.494,76.514,Vandalism,12,Tuesday,Evening,755,7.33,75.44,0.205,2,14,1.45,Sunny,1,46-60,0.988,3.3,0.754,36.3,0.799,0.454,1
Chennai,Sholinganallur,Urban,11.3771,79.9837,Burglary,6,Wednesday,Night,1371,6.37,91.68,0.496,17,16,2.43,Hot,0,26-35,1.028,4.42,0.917,88.64,0.387,0.425,1
Coimbatore,Coimbatore North,Urban,10.1892,79.5552,Fraud,2,Friday,Evening,1152,5.64,91.37,0.172,13,28,3.51,Cloudy,0,26-35,1.042,2.48,0.914,77.59,0.207,0.52,0
Cuddalore,Vridhachalam,Semi-Urban,11.3045,77.8069,Assault,4,Friday,Night,419,14.77,83.93,0.396,7,12,1.45,Hot,1,18-25,1.099,2.68,0.839,50.4,0.747,0.91,0
Karur,Aravakurichi,Rural,10.8029,77.2758,Theft,1,Sunday,Night,690,11.97,66.4,0.174,3,14,0.85,Sunny,0,18-25,1.055,1.97,0.664,66.31,0.745,0.376,0
Erode,Bhavani,Semi-Urban,11.3792,76.0899,Theft,1,Friday,Morning,359,10.36,74.4,0.392,5,13,7.51,Cloudy,0,18-25,0.974,2.89,0.744,53.53,0.854,0.548,1
Sivaganga,Manamadurai,Semi-Urban,11.3203,80.2588,Drug Offense,4,Saturday,Night,590,7.23,65.41,0.531,3,15,1.06,Cloudy,1,36-45,1.078,4.86,0.654,46.81,0.25,0.742,0
Namakkal,Namakkal,Rural,8.161,77.4071,Burglary,2,Thursday,Night,574,11.33,81.8,0.467,2,3,2.2,Sunny,0,46-60,1.051,2.59,0.818,62.49,0.217,0.905,1
Namakkal,Rasipuram,Rural,12.598,76.1876,Assault,10,Saturday,Morning,223,6.58,84.41,0.236,7,2,5.47,Rainy,1,18-25,0.949,3.81,0.844,46.34,0.395,0.321,1
Chennai,Chennai South,Urban,8.6402,77.477,Theft,4,Monday,Evening,812,3.26,91.72,0.328,9,24,1.4,Sunny,1,60+,1.058,0.67,0.917,77.41,0.38,0.54,1
Krishnagiri,Pochampalli,Rural,13.062,76.4509,Property Crime,2,Friday,Morning,463,7.62,77.54,0.658,7,5,4.45,Sunny,0,18-25,1.034,2.4,0.775,48.91,0.806,0.921,1
Virudhunagar,Sattur,Rural,11.3256,79.4826,Domestic Violence,3,Sunday,Morning,353,9.79,77.37,0.531,4,2,4.83,Rainy,0,18-25,1.003,3.68,0.774,32.38,0.564,0.87,0
Dindigul,Kodaikanal,Semi-Urban,11.843,77.2421,Theft,8,Monday,Night,367,9.5,74.94,0.738,2,5,5.93,Rainy,0,60+,0.929,0.52,0.749,49.31,0.889,0.728,1
Dindigul,Natham,Rural,13.1485,77.0585,Burglary,2,Tuesday,Night,596,5.66,84.88,0.685,2,15,4.26,Sunny,0,26-35,1.055,2.85,0.849,57.58,0.536,0.547,0
Cuddalore,Panruti,Rural,9.247,76.8461,Fraud,3,Saturday,Night,678,6.47,76.74,0.347,3,3,5.22,Rainy,0,26-35,1.068,2.37,0.767,57.88,0.805,0.389,1
Sivaganga,Manamadurai,Semi-Urban,11.0685,76.4521,Assault,2,Wednesday,Night,291,5.74,79.32,0.272,5,10,6.01,Sunny,0,36-45,1.047,0.62,0.793,37.69,0.703,0.304,0
Villupuram,Villupuram,Rural,11.5077,76.4114,Theft,7,Sunday,Afternoon,709,13.32,84.32,0.338,2,5,6.72,Sunny,0,26-35,0.968,3.63,0.843,35.46,0.856,0.778,0
Villupuram,Tindivanam,Rural,11.0243,78.8105,Domestic Violence,4,Thursday,Evening,525,5.19,84.51,0.791,4,11,2.86,Rainy,1,18-25,0.996,1.85,0.845,32.45,0.561,0.947,0
Cuddalore,Cuddalore,Rural,8.2871,78.9241,Domestic Violence,8,Monday,Afternoon,513,5.97,84.54,0.175,5,15,2.34,Rainy,0,18-25,1.06,1.07,0.845,43.17,0.636,0.862,1
Dharmapuri,Dharmapuri,Rural,9.7603,80.4269,Burglary,8,Sunday,Afternoon,458,5.54,78.02,0.529,2,2,5.02,Hot,0,46-60,0.978,0.63,0.78,45.28,0.822,0.422,0
Tirunelveli,Nanguneri,Rural,9.0217,77.7355,Vandalism,9,Friday,Evening,259,9.6,78.78,0.181,8,9,0.67,Hot,0,46-60,0.923,4.11,0.788,33.47,0.252,0.711,0
Karur,Kadavur,Rural,11.0126,77.8148,Assault,6,Tuesday,Morning,233,11.24,77.81,0.655,8,15,5.69,Rainy,0,46-60,0.985,2.17,0.778,55.34,0.384,0.813,1
Villupuram,Sankarapuram,Semi-Urban,12.5534,76.3443,Theft,4,Saturday,Night,361,9.58,73.06,0.227,4,15,6.37,Rainy,1,46-60,1.1,4.05,0.731,41.45,0.613,0.577,1
Thoothukudi,Srivaikuntam,Rural,9.1501,77.7974,Theft,1,Thursday,Night,763,9.9,72.0,0.397,7,3,7.8,Sunny,0,60+,1.029,2.83,0.72,69.52,0.426,0.396,0
Chennai,Chennai South,Urban,9.5611,79.0484,Fraud,4,Wednesday,Afternoon,856,5.28,88.68,0.52,19,36,3.51,Hot,1,46-60,0.909,4.14,0.887,89.53,0.596,0.578,1
Kanchipuram,Chengalpattu,Urban,8.0682,79.657,Theft,5,Saturday,Evening,622,14.07,68.45,0.286,7,11,2.18,Sunny,0,46-60,0.947,3.81,0.685,40.12,0.898,0.424,0
Salem,Vazhapadi,Semi-Urban,11.1407,78.0132,Fraud,11,Tuesday,Afternoon,377,5.84,68.45,0.221,7,7,0.57,Hot,1,60+,1.077,4.58,0.684,63.5,0.724,0.719,0
Dindigul,Dindigul,Rural,11.4719,78.2694,Domestic Violence,11,Tuesday,Night,377,12.51,79.27,0.405,2,4,4.37,Rainy,1,36-45,0.988,4.22,0.793,51.23,0.324,0.796,0
Salem,Mettur,Rural,13.0237,76.2373,Theft,8,Friday,Night,269,14.03,75.4,0.789,2,15,3.4,Rainy,0,36-45,1.063,3.13,0.754,50.82,0.397,0.897,1
Villupuram,Sankarapuram,Rural,10.9132,79.4285,Property Crime,5,Monday,Morning,550,11.14,80.85,0.353,4,15,4.14,Hot,0,18-25,1.029,2.43,0.809,68.9,0.239,0.793,0
Namakkal,Kolli Hills,Rural,10.8972,78.9931,Theft,8,Sunday,Afternoon,282,10.67,84.41,0.437,7,8,2.33,Rainy,0,36-45,0.936,2.84,0.844,61.13,0.739,0.49,1
Cuddalore,Vridhachalam,Rural,12.9041,78.4292,Domestic Violence,8,Thursday,Afternoon,412,12.47,82.72,0.324,3,15,4.09,Sunny,0,26-35,0.943,4.49,0.827,48.21,0.776,0.879,1
Thoothukudi,Kovilpatti,Rural,12.9901,78.0548,Fraud,11,Friday,Night,744,14.25,84.11,0.758,5,2,7.62,Cloudy,1,26-35,1.064,1.31,0.841,47.57,0.326,0.356,1
Dharmapuri,Palacode,Rural,12.7597,78.2694,Theft,2,Thursday,Afternoon,519,12.73,70.3,0.609,8,2,6.74,Cloudy,0,18-25,1.065,2.34,0.703,67.94,0.644,0.321,0
Kanchipuram,Sriperumbudur,Semi-Urban,11.8484,80.2988,Burglary,6,Tuesday,Night,371,7.47,69.77,0.26,4,3,1.24,Cloudy,0,26-35,0.978,3.27,0.698,60.01,0.578,0.687,0
Tiruvannamalai,Tiruvannamalai,Rural,12.3152,77.8506,Fraud,8,Sunday,Night,620,6.49,75.28,0.201,4,15,2.21,Rainy,0,60+,1.08,0.98,0.753,66.77,0.711,0.48,0
Salem,Salem,Urban,12.9524,78.3965,Property Crime,4,Thursday,Night,248,14.98,70.95,0.352,8,11,0.84,Sunny,1,26-35,0.949,3.47,0.709,45.42,0.517,0.761,0
Vellore,Vellore,Semi-Urban,10.3846,78.7066,Fraud,9,Monday,Night,760,6.92,82.61,0.286,5,13,4.23,Hot,0,60+,1.017,1.05,0.826,54.82,0.438,0.674,0
Krishnagiri,Bargur,Semi-Urban,13.2543,77.2054,Assault,12,Thursday,Evening,675,6.65,83.16,0.652,7,4,3.48,Hot,1,26-35,1.068,4.18,0.832,67.37,0.439,0.93,0
Thanjavur,Pattukottai,Semi-Urban,11.3422,76.5096,Fraud,12,Sunday,Morning,780,8.56,77.33,0.689,3,15,4.98,Sunny,1,60+,1.014,1.07,0.773,56.88,0.841,0.443,0
Karur,Karur,Rural,11.7555,77.3732,Drug Offense,12,Monday,Morning,602,12.48,80.81,0.252,7,2,2.22,Hot,1,18-25,0.903,4.7,0.808,57.32,0.824,0.679,0
Erode,Erode,Semi-Urban,10.7809,79.6227,Fraud,8,Wednesday,Afternoon,558,10.79,70.6,0.667,7,12,4.43,Sunny,0,36-45,1.022,0.94,0.706,55.13,0.738,0.391,1
Vellore,Vellore,Rural,10.8075,77.5345,Drug Offense,4,Friday,Night,633,7.02,67.62,0.205,2,3,4.89,Rainy,1,46-60,0.901,0.74,0.676,63.07,0.459,0.804,1
Tiruvannamalai,Tiruvannamalai,Semi-Urban,13.3393,79.9848,Domestic Violence,11,Friday,Morning,527,10.85,68.8,0.367,2,6,7.46,Sunny,1,26-35,1.087,1.18,0.688,66.45,0.337,0.522,0
Virudhunagar,Aruppukkottai,Urban,12.0225,80.1204,Drug Offense,11,Sunday,Morning,343,8.73,73.2,0.134,2,4,7.34,Cloudy,1,26-35,0.969,3.75,0.732,37.31,0.882,0.485,0
Villupuram,Sankarapuram,Semi-Urban,13.2665,76.4387,Theft,5,Wednesday,Afternoon,454,5.28,65.79,0.774,7,9,0.97,Sunny,0,26-35,1.078,2.45,0.658,41.45,0.404,0.6,1
Tiruchirappalli,Thuraiyur,Rural,13.2284,76.3435,Assault,11,Sunday,Morning,707,10.0,76.29,0.767,2,9,5.95,Sunny,1,18-25,0.918,0.65,0.763,44.19,0.701,0.673,0
Madurai,Madurai South,Semi-Urban,9.9493,77.2843,Assault,1,Saturday,Evening,1520,5.83,88.37,0.291,8,35,4.48,Cloudy,0,18-25,0.96,4.91,0.884,82.64,0.752,0.777,0
Namakkal,Namakkal,Urban,9.335,78.3167,Theft,6,Thursday,Night,255,12.04,84.02,0.29,4,12,0.9,Hot,0,36-45,1.014,2.54,0.84,37.38,0.557,0.665,0
Tirunelveli,Radhapuram,Semi-Urban,12.4911,79.2613,Burglary,9,Saturday,Afternoon,392,12.85,78.9,0.446,8,12,6.24,Hot,0,46-60,1.065,4.09,0.789,30.6,0.767,0.514,0
Erode,Bhavani,Urban,11.8314,80.4547,Drug Offense,1,Tuesday,Afternoon,595,9.9,81.11,0.244,4,4,0.71,Sunny,0,36-45,1.011,4.0,0.811,51.41,0.292,0.376,0
Tirunelveli,Nanguneri,Semi-Urban,11.1189,78.4025,Assault,10,Monday,Night,492,6.94,81.97,0.186,4,14,1.07,Rainy,1,46-60,0.934,1.64,0.82,36.75,0.291,0.945,0
Madurai,Usilampatti,Urban,9.5441,79.5911,Cybercrime,5,Sunday,Evening,1733,6.4,90.68,0.619,12,20,7.83,Hot,0,36-45,1.064,3.24,0.907,71.11,0.212,0.714,1
Villupuram,Villupuram,Rural,10.2263,76.0717,Fraud,6,Tuesday,Night,521,8.37,78.92,0.254,6,8,3.05,Cloudy,0,60+,0.918,4.48,0.789,46.8,0.299,0.347,1
Sivaganga,Ilayangudi,Rural,9.5449,78.5848,Burglary,7,Monday,Morning,339,14.88,83.56,0.715,3,3,6.42,Hot,0,18-25,1.039,4.33,0.836,49.22,0.542,0.894,1
Erode,Modakurichi,Rural,11.0198,76.717,Fraud,4,Saturday,Morning,214,10.37,77.97,0.351,7,3,7.14,Hot,1,26-35,0.925,3.66,0.78,45.3,0.703,0.819,1
Cuddalore,Kattumannarkoil,Urban,10.8687,79.1444,Cybercrime,12,Friday,Afternoon,497,8.37,81.64,0.77,6,3,2.77,Hot,1,36-45,0.914,4.92,0.816,41.93,0.251,0.309,1
Dharmapuri,Dharmapuri,Rural,8.7818,77.515,Burglary,3,Wednesday,Night,361,8.1,72.03,0.298,6,11,7.42,Rainy,0,60+,1.088,2.88,0.72,66.13,0.731,0.49,1
Thoothukudi,Srivaikuntam,Rural,8.7864,78.3371,Theft,1,Monday,Evening,292,10.05,71.02,0.385,5,4,6.51,Hot,0,18-25,0.988,4.98,0.71,42.78,0.607,0.691,0
Ramanathapuram,Kadaladi,Semi-Urban,11.4219,77.1957,Traffic Violation,10,Sunday,Night,561,5.67,70.52,0.199,7,15,4.7,Hot,1,36-45,0.977,3.58,0.705,69.91,0.693,0.455,0
Thoothukudi,Vilathikulam,Rural,10.2847,76.1624,Cybercrime,11,Friday,Afternoon,447,8.69,80.48,0.791,5,14,3.08,Rainy,1,46-60,0.905,2.86,0.805,44.95,0.426,0.797,0
Tiruvannamalai,Cheyyar,Rural,10.2138,79.5169,Fraud,7,Tuesday,Morning,799,5.82,72.89,0.708,2,12,2.03,Hot,0,18-25,0.912,4.17,0.729,52.06,0.78,0.378,0
Sivaganga,Karaikudi,Rural,10.975,77.8256,Assault,8,Wednesday,Night,772,12.27,84.47,0.747,8,9,2.21,Hot,0,18-25,0.957,0.77,0.845,36.97,0.334,0.674,1
Sivaganga,Sivaganga,Rural,10.5731,76.0464,Domestic Violence,7,Thursday,Afternoon,475,8.14,69.81,0.721,6,12,2.04,Cloudy,0,46-60,0.901,3.24,0.698,57.77,0.344,0.509,0
Cuddalore,Chidambaram,Semi-Urban,8.1977,77.6896,Assault,5,Thursday,Afternoon,562,12.95,68.09,0.104,2,15,7.49,Rainy,0,26-35,1.098,0.71,0.681,49.4,0.742,0.88,1
Vellore,Arcot,Rural,12.4627,76.1959,Cybercrime,10,Wednesday,Morning,299,13.81,75.24,0.168,2,10,7.45,Cloudy,1,18-25,1.008,1.49,0.752,54.17,0.692,0.73,0
Erode,Modakurichi,Semi-Urban,12.3077,80.3234,Burglary,3,Sunday,Evening,453,7.32,80.96,0.483,8,4,6.69,Rainy,0,46-60,0.96,2.11,0.81,63.42,0.864,0.398,1
Salem,Omalur,Semi-Urban,10.0939,78.2926,Fraud,10,Sunday,Morning,625,13.64,72.62,0.265,4,5,6.88,Hot,1,60+,0.995,0.8,0.726,50.13,0.763,0.786,0
Villupuram,Villupuram,Semi-Urban,12.4429,76.9656,Domestic Violence,6,Monday,Morning,359,6.19,79.57,0.668,7,2,6.89,Rainy,0,26-35,0.988,4.76,0.796,39.61,0.811,0.633,1
Chennai,Chennai Central,Urban,8.9671,76.4935,Theft,10,Wednesday,Night,1986,5.46,93.48,0.176,9,17,2.45,Sunny,1,26-35,1.065,0.59,0.935,76.6,0.882,0.373,1
Tiruchirappalli,Lalgudi,Semi-Urban,12.6575,76.0984,Domestic Violence,12,Tuesday,Evening,451,11.3,83.49,0.668,7,8,0.84,Sunny,1,26-35,1.014,1.11,0.835,62.51,0.893,0.467,1
Namakkal,Namakkal,Rural,11.9649,79.7354,Assault,12,Monday,Night,302,6.67,80.36,0.115,6,8,1.72,Cloudy,1,36-45,0.941,1.95,0.804,33.86,0.547,0.704,1
Coimbatore,Sulur,Urban,10.1222,79.1285,Vandalism,3,Tuesday,Afternoon,1105,6.46,94.24,0.357,21,19,4.89,Hot,0,26-35,1.053,4.92,0.942,80.49,0.303,0.387,1
Salem,Mettur,Semi-Urban,9.6456,76.6743,Vandalism,11,Saturday,Night,449,7.32,82.62,0.783,6,4,4.46,Hot,1,60+,0.953,1.91,0.826,36.05,0.596,0.8,0
Dharmapuri,Karimangalam,Rural,11.7653,79.6321,Theft,9,Saturday,Night,513,6.02,83.64,0.441,8,13,2.59,Sunny,0,18-25,0.921,3.94,0.836,36.64,0.456,0.9,1
Ramanathapuram,Kamuthi,Semi-Urban,12.7162,79.7868,Cybercrime,2,Thursday,Afternoon,405,12.98,76.65,0.295,7,3,7.86,Hot,0,46-60,1.033,1.61,0.767,51.95,0.26,0.465,0
Ramanathapuram,Ramanathapuram,Rural,8.3618,76.238,Cybercrime,7,Friday,Morning,673,9.08,68.59,0.729,4,4,6.42,Hot,0,60+,1.073,3.42,0.686,34.67,0.368,0.702,1
Chennai,Chennai Central,Urban,11.7591,79.3908,Drug Offense,6,Tuesday,Night,1557,3.96,94.05,0.465,16,22,1.01,Cloudy,0,26-35,1.0,4.46,0.94,81.74,0.286,0.305,0
Salem,Vazhapadi,Semi-Urban,9.6455,77.8999,Domestic Violence,11,Monday,Morning,589,9.47,70.0,0.329,8,15,3.55,Cloudy,1,26-35,1.079,4.65,0.7,40.42,0.711,0.415,0
Coimbatore,Pollachi,Urban,12.2508,77.7808,Drug Offense,8,Monday,Night,830,4.61,89.79,0.112,10,36,7.66,Rainy,0,46-60,1.042,4.11,0.898,84.97,0.89,0.574,1
